_id,title,source,document_type,language,mention_year,mention_month,mention_weekday,mention_quarter,overview,mention_date,rating,title_length,overview_length,mysql_title,mysql_source_name,mysql_source_domain,mysql_author_name,mysql_document_type,mysql_content_type,mysql_language_code,mysql_mention_year,mysql_rating_value,mysql_title_length,mysql_overview_length,mysql_published_at,mysql_mention_date
69ed2b5ef527cb7a1c115a14,"Deals: AirPods 4 for $99, $150 Off M5 MacBook Air, Save on MacBook Neo with Quick Delivery",newsapi_Apple_page_3.json,json,,2026,4,Friday,2,"AirPods 4 are available at 22% off Apple’s retail price, offered for just $99. AirPods 4 feature the iconic design, and many great features like gesture support, spatial audio, voice isolation, water and sweat resistance, Siri support, USB-C charging, and mor…",2026-04-24 00:00:00+00:00,3.0,90,260,"Deals: AirPods 4 for $99, $150 Off M5 MacBook Air, Save on MacBook Neo with Quick Delivery",newsapi_Apple_page_3.json,osxdaily.com,OSXDaily,json,Unknown,,2026,3.0,90,260,2026-04-24 19:56:44,2026-04-24
69fc8502ef3b485ee4bc2b4a,AirPods Max 2: Firmware-Update 8E258 ist da,newsapi_Apple_page_2.json,json,,2026,5,Wednesday,2,"Apple hat in der Nacht zu heute ein Firmware-Update für das neueste Mitglied seiner AirPods-Familie veröffentlicht. Genau genommen, steht ab sofort das Firmware-Update 8E258 für die AirPods Max 2 bereit. Dieses löst die bisherige Firmware 8E251 ab. AirPods Ma…",2026-05-06 00:00:00+00:00,3.0,43,260,AirPods Max 2: Firmware-Update 8E258 ist da,newsapi_Apple_page_2.json,www.macerkopf.de,Admin,json,Unknown,,2026,3.0,43,260,2026-05-06 12:11:18,2026-05-06
69fc8502ef3b485ee4bc2b50,Best Buy Mother's Day Deals: Up to 50% off + free shipping,newsapi_Apple_page_2.json,json,,2026,5,Wednesday,2,"Shop Mother's Day deals including up to $100 off on Apple Watach SE3, up to $150 off Dyson hair care, up to $60 off on Amazon e-readers, up to $70 off select AirPods, and more. Sale ends May 10 2026. Shop Now at Best Buy",2026-05-06 00:00:00+00:00,3.0,58,220,Best Buy Mother's Day Deals: Up to 50% off + free shipping,newsapi_Apple_page_2.json,www.dealnews.com,Unknown,json,Unknown,,2026,3.0,58,220,2026-05-06 12:09:54,2026-05-06
69ed2b5ef527cb7a1c1159fd,Jennifer Aniston Gets to Work Filming 'The Morning Show' Season 5,newsapi_Apple_page_2.json,json,,2026,4,Friday,2,Jennifer Aniston is getting to work on the new season of The Morning Show! The 57-year-old Emmy-winning actress checked her phone and chatted with a crew member as she arrived on set of season 5 of the Apple TV drama series on Thursday (April 23) in Los Angel…,2026-04-24 00:00:00+00:00,3.0,65,260,Jennifer Aniston Gets to Work Filming 'The Morning Show' Season 5,newsapi_Apple_page_2.json,www.justjared.com,Just Jared,json,Unknown,,2026,3.0,65,260,2026-04-24 20:11:32,2026-04-24
69ed2b5ef527cb7a1c115a10,Schmigadoon!-dalok,newsapi_Apple_page_3.json,json,,2026,4,Friday,2,"Szerettem az Apple Tv+ komikus musical sorozatát, az első évadot talán jobban, mint a másodikat, a tovább mögött pár dalt, előadást lehet megnézni, amik mindegyike klasszikus musical számokra reflektál. A kedvencem továbbra is az utolsó, a Kristen Chenoweth-f…",2026-04-24 00:00:00+00:00,3.0,18,260,Schmigadoon!-dalok,newsapi_Apple_page_3.json,www.sorozatjunkie.hu,winnie,json,Unknown,,2026,3.0,18,260,2026-04-24 20:00:00,2026-04-24
69f79537c7d32a5f5b914579,Coming Soon: What’s Next on Apple TV and Apple Arcade in May 2026,newsapi_Apple_page_1.json,json,,2026,5,Saturday,2,"It’s a new month and it’s F1 season, which means it’s time for a roundup of everything coming to Apple TV and Apple Arcade in May 2026. This month we’re adding F1 and other sports airing on Apple TV this month, starting with tomorrow’s Miami Grand Prix, and c…",2026-05-02 00:00:00+00:00,3.0,65,260,Coming Soon: What’s Next on Apple TV and Apple Arcade in May 2026,newsapi_Apple_page_1.json,www.macstories.net,John Voorhees,json,Unknown,,2026,3.0,65,260,2026-05-02 17:42:32,2026-05-02
69ed2b5ef527cb7a1c1159f9,How to watch Major League Baseball games Fridays on Apple TV,newsapi_Apple_page_2.json,json,,2026,4,Friday,2,"Friday Night Baseball is back on Apple TV tonight for a big doubleheader: Philadelphia Phillies at Atlanta Braves, and Chicago Cubs at LA Dodgers. Here’s how to watch tonight’s MLB games on Apple TV. more…",2026-04-24 00:00:00+00:00,3.0,60,205,How to watch Major League Baseball games Fridays on Apple TV,newsapi_Apple_page_2.json,9to5mac.com,Ryan Christoffel,json,Unknown,,2026,3.0,60,205,2026-04-24 20:20:08,2026-04-24
69fc8502ef3b485ee4bc2b6a,The Weirdest Wearables From 100 Years Ago,newsapi_Apple_page_3.json,json,,2026,5,Wednesday,2,The shockwatch of 1927 walked so Apple Watch could run.,2026-05-06 00:00:00+00:00,3.0,41,55,The Weirdest Wearables From 100 Years Ago,newsapi_Apple_page_3.json,gizmodo.com,Matt Novak,json,Unknown,,2026,3.0,41,55,2026-05-06 12:00:08,2026-05-06
69f79537c7d32a5f5b914566,Motorola Beats Apple And Samsung: The Razr Ultra 2026 Debuts Innovative Battery Tech - Forbes,newsapi_Apple_page_1.json,json,,2026,5,Saturday,2,"Motorola Beats Apple And Samsung: The Razr Ultra 2026 Debuts Innovative Battery TechForbes I Checked Out the Motorola Razr Fold and Its Hinge Feels a Little CreakyPCMag Razr 2026, Plus or Ultra? Here's Which New Motorola Razr You Should BuyCNET Motorola annou…",2026-05-02 00:00:00+00:00,3.0,93,260,Motorola Beats Apple And Samsung: The Razr Ultra 2026 Debuts Innovative Battery Tech - Forbes,newsapi_Apple_page_1.json,slashdot.org,feedfeeder,json,Unknown,,2026,3.0,93,260,2026-05-02 18:32:30,2026-05-02
69f79537c7d32a5f5b914572,Koniec z wadliwym ekranem. Najmniejszy tablet Apple dostanie w tym roku rewolucyjną zmianę,newsapi_Apple_page_1.json,json,,2026,5,Saturday,2,"Od miesięcy mówiło się o wielkich premierach Apple, ale fani najmniejszych i najtańszych tabletów z logo nadgryzionego jabłka musieli obejść się smakiem. To się jednak wkrótce zmieni. Jeszcze w tym roku na rynek trafią dwa nowe iPady, które mają naprawić najw…",2026-05-02 00:00:00+00:00,3.0,90,260,Koniec z wadliwym ekranem. Najmniejszy tablet Apple dostanie w tym roku rewolucyjną zmianę,newsapi_Apple_page_1.json,imagazine.pl,Agnieszka Serafinowicz,json,Unknown,,2026,3.0,90,260,2026-05-02 18:00:54,2026-05-02
