_id,source,author,content,description,document_type,extraction_timestamp,publishedAt,title,url,urlToImage,date,type,language,rating,content_hash,record_date,overview,mention_date,mention_year
69ce9d979d3427d3654d3275,newsapi_Apple_page_1.json,bringatrailer,"This Liquid Silver Metallic 2012 Mazda MX-5 Miata is a Grand Touring with a six-speed manual transmission, black leather, heated seats, automatic climate control, and a power-retractable hardtop (PRH… [+1815 chars]","This Liquid Silver Metallic 2012 Mazda MX-5 Miata is a Grand Touring with a six-speed manual transmission, black leather, heated seats, automatic climate control, and a power-retractable hardtop (PRHT). Powered by a 2.0-liter inline-four, it also features BC …",json,2026-04-25 20:39:13.637000+00:00,2026-04-24 20:10:56+00:00,2012 Mazda MX-5 Miata Grand Touring PRHT 6-Speed at No Reserve,https://bringatrailer.com/listing/2012-mazda-mx-5-miata-22/,https://bringatrailer.com/wp-content/uploads/2026/04/2012_mazda_mx-5-miata_img_6872-69746.jpeg,,Unknown,,3.0,,,"This Liquid Silver Metallic 2012 Mazda MX-5 Miata is a Grand Touring with a six-speed manual transmission, black leather, heated seats, automatic climate control, and a power-retractable hardtop (PRHT). Powered by a 2.0-liter inline-four, it also features BC …",2026-04-24 00:00:00+00:00,2026
69ce9d979d3427d3654d3276,newsapi_Apple_page_2.json,Jusuf Hatic,"Tim Cook hatte so einige Produkte in seiner Zeit als Apple-CEO zu verantworten natürlich auch mit einigen Fehltritten. (© Apple) Wenige Tage nach der Ankündigung, dass Tim Cook von seinem Posten als… [+2604 chars]","Nach über 15 Jahren hört Tim Cook als Apple-CEO auf und nutzt die Gegenwart auch, um diese Zeit Revue passieren zu lassen. Dabei gesteht er seinen »ersten großen Fehler« seiner Amtszeit ein.",json,2026-04-25 20:39:13.673000+00:00,2026-04-24 19:59:00+00:00,News: Nach Rücktritt - »Mein erster großer Fehler«: Tim Cook blickt auf seine Zeit als Apple-CEO zurück,"https://www.gamestar.de/artikel/,3452032.html",https://images.cgames.de/images/gamestar/293/apple-ceo-tim-cook-schaut-fragend_6252141.jpg,,Unknown,,3.0,,,"Nach über 15 Jahren hört Tim Cook als Apple-CEO auf und nutzt die Gegenwart auch, um diese Zeit Revue passieren zu lassen. Dabei gesteht er seinen »ersten großen Fehler« seiner Amtszeit ein.",2026-04-24 00:00:00+00:00,2026
69ce9d979d3427d3654d3277,newsapi_Apple_page_3.json,Alex Griffing,"Todd Blanche, Deputy Attorney General of the United States speaks on stage during day 1 of CPAC Conference at Gaylord Texan Resort &amp; Convention Center in Grapevine, TX on March 26, 2026. (Photo b… [+3661 chars]","“To the extent the money encouraged or sustained the racist groups, tacitly or otherwise, SPLC benefited from perpetuating racial division."" The post ‘Certainly Disreputable’: WSJ Editorial Board Tries to Make Sense of Trump DOJ SPLC Indictment first appeared…",json,2026-04-25 20:39:13.688000+00:00,2026-04-24 19:32:40+00:00,‘Certainly Disreputable’: WSJ Editorial Board Tries to Make Sense of Trump DOJ SPLC Indictment,https://www.mediaite.com/media/news/certainly-disreputable-wsj-editorial-board-tries-to-make-sense-of-trump-doj-splc-indictment/,https://www.mediaite.com/wp-content/uploads/2026/03/AP26085858938751-scaled.jpg,,Unknown,,3.0,,,"“To the extent the money encouraged or sustained the racist groups, tacitly or otherwise, SPLC benefited from perpetuating racial division."" The post ‘Certainly Disreputable’: WSJ Editorial Board Tries to Make Sense of Trump DOJ SPLC Indictment first appeared…",2026-04-24 00:00:00+00:00,2026
69ce9d979d3427d3654d3278,sample.csv,Alex Brown,Unknown,Unknown,csv,2026-04-25 20:39:14.090000+00:00,,Apple doesnt lawsuit,,,2026-03-02 00:00:00+00:00,Unknown,,3.0,,,Unknown,2026-03-02 00:00:00+00:00,2026
69ce9d979d3427d3654d3279,sample.xml,Alex Brown,Unknown,Unknown,xml,2026-04-25 20:39:14.100000+00:00,,Apple faces lawsuit,,,2026-03-03 00:00:00+00:00,Unknown,,3.0,,,Unknown,2026-03-03 00:00:00+00:00,2026
69ed2671f527cb7a1c1159df,apple_ratings_large.csv,Sara Lee,Unknown,Unknown,csv,2026-04-25 20:39:13.739000+00:00,,AirPods daily use impressions,,,2026-04-16 00:00:00+00:00,Unknown,es,5.0,,,Unknown,2026-04-16 00:00:00+00:00,2026
69ed2b5ef527cb7a1c1159e0,newsapi_Apple_page_1.json,Unknown,"At one point in history, one U.S. company monopolized the rare earths industry. Then China took over the industry. Can the U.S. bring it back? Rare earths are critical to making, like, everything. F… [+973 chars]","At one point in history, one U.S. company monopolized the rare earths industry. Then China took over the industry. Can the U.S. bring it back?Rare earths are critical to making, like, everything. From smart phones to electric vehicles to microwaves. They’ve a…",json,2026-04-25 21:11:28.488000+00:00,2026-04-24 21:00:00+00:00,Battlefield rare earths: How the U.S. lost to China,https://www.npr.org/2026/04/24/nx-s1-5798742/rare-earths-mining-china-usa,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/3377x1900+0+1/resize/1400/quality/85/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F51%2F28%2Fd2ae68ab42218976c1c6dc4efa28%2Fc13546bc-49a3-483d-88e4-7af95d93638d.jpg,,Unknown,,3.0,,,"At one point in history, one U.S. company monopolized the rare earths industry. Then China took over the industry. Can the U.S. bring it back?Rare earths are critical to making, like, everything. From smart phones to electric vehicles to microwaves. They’ve a…",2026-04-24 00:00:00+00:00,2026
69ed2b5ef527cb7a1c1159e1,newsapi_Apple_page_1.json,Juan Diego Polo,Tu router dice «WiFi 6». Tu nuevo móvil presume de «WiFi 7». El portátil tiene «WiFi 6E». ¿Son compatibles entre sí? ¿Necesitas cambiar el router? La respuesta corta: todos son retrocompatibles (un d… [+4626 chars],"Tu router dice «WiFi 6». Tu nuevo móvil presume de «WiFi 7». El portátil tiene «WiFi 6E». ¿Son compatibles entre sí? ¿Necesitas cambiar el router? La respuesta corta: todos son retrocompatibles (un dispositivo WiFi 7 funciona con un router WiFi 5), pero la me…",json,2026-04-25 21:11:28.488000+00:00,2026-04-24 21:00:00+00:00,"WiFi 6, WiFi 6E y WiFi 7: qué significan los números y cuál necesitas realmente",https://wwwhatsnew.com/2026/04/24/wifi-6-6e-7-diferencias-cual-necesitas/,https://wwwhatsnew.com/wp-content/uploads/2025/03/La-exposicion-de-datos-personales-en-Internet.webp,,Unknown,,3.0,,,"Tu router dice «WiFi 6». Tu nuevo móvil presume de «WiFi 7». El portátil tiene «WiFi 6E». ¿Son compatibles entre sí? ¿Necesitas cambiar el router? La respuesta corta: todos son retrocompatibles (un dispositivo WiFi 7 funciona con un router WiFi 5), pero la me…",2026-04-24 00:00:00+00:00,2026
69ed2b5ef527cb7a1c1159e2,newsapi_Apple_page_1.json,Juli Clover,"Apple is planning to start showing ads in the Apple Maps app this summer, and signs of ads have already shown up in the iOS 26.5 beta as Apple prepares to roll them out. Where Ads Show Up Ads will … [+1818 chars]","Apple is planning to start showing ads in the Apple Maps app this summer, and signs of ads have already shown up in the iOS 26.5 beta as Apple prepares to roll them out. Where Ads Show Up Ads will be displayed in the ‌Apple Maps‌ search interface. Dep…",json,2026-04-25 21:11:28.488000+00:00,2026-04-24 20:58:00+00:00,Ads Are Coming to Apple Maps This Summer: Here's What to Expect,https://www.macrumors.com/2026/04/24/apple-maps-ads-what-to-expect/,https://images.macrumors.com/t/L7-hmAsT-RaznAYtRRiKCEtcD40=/2330x/article-new/2026/03/Ads-Are-Coming-to-Apple-Maps-Feature.jpg,,Unknown,,3.0,,,"Apple is planning to start showing ads in the Apple Maps app this summer, and signs of ads have already shown up in the iOS 26.5 beta as Apple prepares to roll them out. Where Ads Show Up Ads will be displayed in the ‌Apple Maps‌ search interface. Dep…",2026-04-24 00:00:00+00:00,2026
69ed2b5ef527cb7a1c1159e3,newsapi_Apple_page_1.json,"Carlos Cuesta, Sandra León, Miguel Ángel Pérez, Teresa Gómez y Ricardo González Mangas","Escucha este programa en cualquier momento y lugar a través de los podcasts de Libertad Digital y esRadio. Descarga nuestra aplicación para iOs o Android, visita nuestra página web en esradio.fm, o e… [+315 chars]","Miguel Ángel Pérez y Teresa Gómez analizan con Carlos Cuesta y Sandra León la actualidad, que pasa por corrupción",json,2026-04-25 21:11:28.488000+00:00,2026-04-24 20:57:59+00:00,Tertulia de Cuesta: de la caza de la UCO a Pardo de Vera a la bochornosa dimisión de Sánchez tras el comité de 2016,https://esradio.libertaddigital.com/la-noche-de-cuesta/la-tertulia/2026-04-24/tertulia-de-cuesta-de-la-caza-de-la-uco-a-pardo-de-vera-a-la-bochornosa-dimision-de-sanchez-tras-el-comite-de-2016-7394362/,https://s1.staticld.com/2026/04/24/1200/675/1255x381/isabel-pardo-de-vera-adif-supremo-abril-2026.jpg,,Unknown,,3.0,,,"Miguel Ángel Pérez y Teresa Gómez analizan con Carlos Cuesta y Sandra León la actualidad, que pasa por corrupción",2026-04-24 00:00:00+00:00,2026
