column,dtype,missing_count,missing_ratio,non_missing_count
Keywords,float64,382,1.0,0
page_number,float64,380,0.9947643979057592,2
best_picture,object,378,0.9895287958115183,4
page,float64,378,0.9895287958115183,4
Author,str,372,0.9738219895287958,10
CreationDate,str,372,0.9738219895287958,10
Creator,str,372,0.9738219895287958,10
ModDate,str,372,0.9738219895287958,10
Producer,str,372,0.9738219895287958,10
Subject,str,372,0.9738219895287958,10
Title,str,372,0.9738219895287958,10
Trapped,object,372,0.9738219895287958,10
file_name,str,368,0.9633507853403142,14
text,str,368,0.9633507853403142,14
awards,float64,348,0.9109947643979057,34
nominations,float64,348,0.9109947643979057,34
query_params.ajax,object,348,0.9109947643979057,34
query_params.year,float64,348,0.9109947643979057,34
year,float64,348,0.9109947643979057,34
language,str,324,0.8481675392670157,58
rating,float64,324,0.8481675392670157,58
record_date,str,312,0.8167539267015707,70
date,str,306,0.8010471204188482,76
urlToImage,str,272,0.7120418848167539,110
description,str,268,0.7015706806282722,114
publishedAt,str,266,0.6963350785340314,116
url,str,266,0.6963350785340314,116
price,str,260,0.680628272251309,122
content,str,246,0.643979057591623,136
content_hash,str,212,0.5549738219895288,170
author,str,192,0.5026178010471204,190
type,str,192,0.5026178010471204,190
document_type,str,85,0.22251308900523561,297
title,str,34,0.08900523560209424,348
_id,str,0,0.0,382
extraction_timestamp,str,0,0.0,382
source,str,0,0.0,382
