column,dtype,missing_count,missing_ratio,non_missing_count
Author,str,254,1.0,0
CreationDate,str,254,1.0,0
Creator,str,254,1.0,0
Keywords,float64,254,1.0,0
ModDate,str,254,1.0,0
Producer,str,254,1.0,0
Subject,str,254,1.0,0
Title,str,254,1.0,0
Trapped,object,254,1.0,0
awards,float64,254,1.0,0
best_picture,object,254,1.0,0
content_hash,str,254,1.0,0
file_name,str,254,1.0,0
nominations,float64,254,1.0,0
page,float64,254,1.0,0
page_number,float64,254,1.0,0
price,str,254,1.0,0
query_params.ajax,object,254,1.0,0
query_params.year,float64,254,1.0,0
text,str,254,1.0,0
type,str,254,1.0,0
year,float64,254,1.0,0
language,str,211,0.8307086614173228,43
rating,float64,211,0.8307086614173228,43
record_date,str,198,0.7795275590551181,56
date,str,193,0.7598425196850394,61
urlToImage,str,76,0.2992125984251969,178
description,str,62,0.2440944881889764,192
content,str,61,0.24015748031496062,193
publishedAt,str,61,0.24015748031496062,193
url,str,61,0.24015748031496062,193
author,str,3,0.011811023622047244,251
_id,str,0,0.0,254
document_type,str,0,0.0,254
extraction_timestamp,str,0,0.0,254
source,str,0,0.0,254
title,str,0,0.0,254
